Treaty Year,12,24,36,48,60,72,84,96,108,120,132,144,156,168,180,192
2008,798.4450014281056,1912.441091306229,2077.8816421141396,2086.167172899023,2078.4141024661285,2068.3118954508545,2074.7517535326033,2077.6048265059076,2078.176901141287,2055.4696050417765,2052.613579738291,2041.0198041346014,2042.0835715203211,2041.6874684738123,2040.1533236780308,2038.62034987327
2009,939.7510777171991,2568.1979374135835,2683.788042624626,2658.2745123577715,2670.4723231838034,2682.3234947837814,2683.910991727393,2692.0496689519596,2677.5616986626305,2672.9990572059783,2675.0297821592876,2675.963782537212,2672.2237618380514,2667.4562580558636,2671.677334142529,
2010,760.4682549378891,2765.6157919899306,3288.91856133692,3302.8159271726263,3482.9572232417336,3571.8522701812967,3634.824781793874,3660.951935838679,3670.3318645731442,3676.5039257228837,3682.4929293105856,3667.2706059517827,3673.8493427522794,3687.3326890014437,,
2011,1432.5864300882224,2913.0924835598735,3151.0335680555363,3245.7216508032734,3355.0945115380505,3347.036994609443,3348.99156757176,3349.3344919588817,3363.6775762036127,3390.6594220518946,3393.26753299228,3396.024153848042,3409.759299889336,,,
2012,926.6264989178657,2896.470108592644,3275.7066373565954,3333.1509388580075,3329.43059760324,3323.305892108149,3309.653535626466,3314.622375378801,3320.0344717103544,3318.7309658220656,3318.377900963519,3326.914789666958,,,,
2013,900.1837949531022,2435.769900240864,2660.171403067057,2663.6730925056254,2646.533062767818,2640.3078395660123,2645.6267192523405,2646.803774261621,2667.208884172546,2667.190708643929,2670.1074111289113,,,,,
2014,535.8746141688575,1886.2217635961863,2183.5488102612603,2204.04085042721,2208.8662349153656,2202.972239512032,2215.490624899862,2240.947686936061,2252.8760773425943,2232.3756932988917,,,,,,
2015,591.7411608015202,2181.4153763989793,2706.223195319889,2777.7692795262415,2861.2199821997965,2933.211258821434,2982.855005300411,2990.249084744868,2999.418382907387,,,,,,,
2016,876.7601793007578,2783.6460137612485,3322.550052664061,3369.261682861989,3401.7889687427237,3444.444830301617,3456.2354394050385,3462.722927257937,,,,,,,,
2017,1755.296247796528,4675.229834188339,5205.959486579288,5193.010350538211,5238.220424917031,5223.329983810823,5264.743644481257,,,,,,,,,
2018,970.0423289007839,3954.9310155643075,4398.387994789583,4467.930773586253,4478.428997190302,4452.263848786855,,,,,,,,,,
2019,1442.0062005229915,4335.8825378899255,5358.326019236159,5511.870578574276,5529.443901933692,,,,,,,,,,,
2020,1130.372936139727,3620.3788269684005,4550.8499659065865,4726.946777895145,,,,,,,,,,,,
2021,1553.8713466371717,4210.770393869908,5184.451881913696,,,,,,,,,,,,,
2022,1443.7493729843943,4441.809740500475,,,,,,,,,,,,,,
2023,1344.8400095281368,,,,,,,,,,,,,,,
